customer_id,customer_name,email,registration_date,customer_type
CUST0001,Allison Hill,donaldgarcia@example.net,2025-11-11,REGULAR
CUST0002,Javier Johnson,jesseguzman@example.net,2024-05-21,REGULAR
CUST0003,Meredith Barnes,zlawrence@example.org,2024-03-22,VIP
CUST0004,Gina Moore,curtis61@example.com,2025-01-02,VIP
CUST0005,Renee Blair,dudleynicholas@example.net,2024-10-15,REGULAR
CUST0006,Lisa Hensley,janetwilliams@example.org,2024-10-09,REGULAR
CUST0007,Dr. Sharon James,xreid@example.org,2025-02-12,REGULAR
CUST0008,Michael Miles,lynchgeorge@example.net,2024-08-01,VIP
CUST0009,James Mayo,gabriellecameron@example.org,2024-07-07,REGULAR
CUST0010,Renee Morales,clarksherri@example.net,2024-11-17,VIP
CUST0011,Jonathan Wilkerson,ithomas@example.org,2025-12-06,REGULAR
CUST0012,Nicole Patterson,icox@example.net,2025-08-22,PREMIUM
CUST0013,Anthony Rodriguez,laurahenderson@example.org,2025-03-06,REGULAR
CUST0014,Zachary Rice,frazierdanny@example.net,2024-09-04,REGULAR
CUST0015,Gina Carter,shawnmckay@example.net,2024-08-30,PREMIUM
CUST0016,Pamela Romero,harrellkenneth@example.net,2025-09-13,REGULAR
CUST0017,Brittany Farmer,georgetracy@example.org,2025-01-31,PREMIUM
CUST0018,Sandra Parker,allenashley@example.org,2023-11-28,PREMIUM
CUST0019,Rose Spence,davidalvarez@example.net,2024-03-30,PREMIUM
CUST0020,Shane Henderson,sarahcampos@example.net,2024-05-25,REGULAR
CUST0021,Jennifer Powers,samuel87@example.org,2024-08-06,VIP
CUST0022,George Chapman,briannasmith@example.net,2026-03-24,PREMIUM
CUST0023,Austin Johnson,chad34@example.net,2025-08-10,PREMIUM
CUST0024,Carlos Walls,esanchez@example.com,2024-05-08,VIP
CUST0025,Matthew Gomez,uowens@example.org,2026-05-29,PREMIUM
CUST0026,Maria Brown,lauren13@example.org,2024-05-08,VIP
CUST0027,Brenda White,ewright@example.com,2025-11-18,VIP
CUST0028,Matthew Fernandez,novaksara@example.org,2024-04-01,PREMIUM
CUST0029,John Hancock,martinaaron@example.com,2024-09-01,REGULAR
CUST0030,Rachel Mitchell,smoore@example.org,2023-10-16,PREMIUM
CUST0031,Kimberly Adkins,williamsthomas@example.net,2024-03-18,VIP
CUST0032,Jordan York,larsonemma@example.org,2025-04-05,REGULAR
CUST0033,Steve Sanchez,harveyrobert@example.net,2025-12-12,REGULAR
CUST0034,Taylor Harris,john62@example.net,2026-04-15,VIP
CUST0035,Eugene Walton,smithchristine@example.net,2023-12-20,VIP
CUST0036,Daniel Baker,nicole35@example.com,2024-03-19,VIP
CUST0037,Joshua Turner,contrerasangela@example.net,2023-12-25,VIP
CUST0038,Brandy Wilson,newtoneric@example.com,2026-02-11,PREMIUM
CUST0039,Grant Watts,william40@example.org,2026-03-29,VIP
CUST0040,Donald Smith,danagreen@example.net,2025-06-03,REGULAR
CUST0041,Jessica Smith,landryhannah@example.org,2025-11-11,REGULAR
CUST0042,Jacob Tran,tanderson@example.com,2023-09-17,REGULAR
CUST0043,Christine Wright,gomezanita@example.com,2026-03-08,PREMIUM
CUST0044,Tammy Young,theresacochran@example.com,2023-08-25,REGULAR
CUST0045,Tim Patton,vpham@example.org,2024-09-04,VIP
CUST0046,Michael Reyes,garrisonjeffrey@example.com,2025-01-11,PREMIUM
CUST0047,Robert Perez,kellerraymond@example.com,2023-11-02,PREMIUM
CUST0048,Diana May,ifrazier@example.com,2023-08-29,VIP
CUST0049,Wesley White,benjamin96@example.com,2024-11-16,PREMIUM
CUST0050,William Wilson,jonathanfletcher@example.org,2025-10-02,VIP
CUST0051,Kimberly Ball,michaeljones@example.net,2024-12-11,PREMIUM
CUST0052,Mary Martinez,william65@example.com,2026-07-05,PREMIUM
CUST0053,Cameron Fisher,lbyrd@example.net,2025-12-18,PREMIUM
CUST0054,Joshua Smith,jason99@example.net,2024-11-29,REGULAR
CUST0055,Jeremy Lewis,yleon@example.net,2024-04-06,REGULAR
CUST0056,Diane Beck,clarence34@example.org,2024-05-22,REGULAR
CUST0057,Angel Riggs,gibsonolivia@example.net,2024-05-15,REGULAR
CUST0058,Janet Ross,dianasmith@example.org,2025-05-08,PREMIUM
CUST0059,Robert Dominguez,pwilliams@example.org,2025-06-26,PREMIUM
CUST0060,John Schmidt,stephanie79@example.net,2025-09-09,PREMIUM
CUST0061,Terry Griffin,juliawells@example.com,2024-08-05,VIP
CUST0062,Destiny Strickland,rsims@example.com,2023-11-15,REGULAR
CUST0063,Cynthia Rogers,taylorjesse@example.net,2024-03-11,REGULAR
CUST0064,Amy Russell,nperry@example.com,2025-03-14,VIP
CUST0065,Lauren Dominguez,wwoods@example.com,2025-03-14,VIP
CUST0066,Tiffany Barnes,tracynelson@example.com,2023-09-01,PREMIUM
CUST0067,Michael Yates,marycalhoun@example.net,2025-10-24,PREMIUM
CUST0068,James Elliott,millerroy@,2024-04-25,VIP
CUST0069,James Lewis,matthew64@example.com,2024-08-12,VIP
CUST0070,Julie Curry,cookemichael@example.net,2023-11-01,VIP
CUST0071,Marissa Webster,jamessmith@example.org,2024-07-22,VIP
CUST0072,Michael Elliott,stevenscott@example.com,2024-04-03,REGULAR
CUST0073,Tracey Higgins,tamirodriguez@example.org,2024-11-13,REGULAR
CUST0074,Susan Brooks,charlesvaughn@example.net,2024-07-29,VIP
CUST0075,Raymond Jefferson,hoganashlee@example.org,2025-01-07,VIP
CUST0076,Mary Jones,alexander67@example.org,2025-05-21,REGULAR
CUST0077,Madison Poole,ryangross@example.net,2024-09-09,PREMIUM
CUST0078,Tamara Hampton,ugraham@example.net,2024-09-06,PREMIUM
CUST0079,David Michael,nicole37@example.net,2026-02-20,REGULAR
CUST0080,Gabrielle Snyder,hunter35@example.com,2024-12-27,REGULAR
CUST0081,Kyle Beard,blackjames@example.org,2025-04-09,PREMIUM
CUST0082,Peter Vaughn DDS,bwest@example.org,2024-10-17,VIP
CUST0083,Michael Torres,thomas85@example.com,2025-11-18,REGULAR
CUST0084,Michael Nelson,jerry35@example.org,2025-10-27,VIP
CUST0085,Melissa Lee,lhill@example.net,2026-01-30,VIP
CUST0086,Brian Lee,michaelturner@example.net,2025-10-24,PREMIUM
CUST0087,Angel Brown,heidi27@example.org,2023-08-06,VIP
CUST0088,Julie Alexander,tammyking@example.com,2024-01-11,VIP
CUST0089,Jennifer Jones,hernandezlisa@example.com,2023-11-27,PREMIUM
